coc_number,coc_name,total_homeless,chronically_homeless,sheltered_homeless,unsheltered_homeless,homeless_veterans,homeless_people_in_families,homeless_unaccompanied_youth,value
IL-518,Rock Island/Moline/Northwestern Illinois CoC,340,0,301,39,14,132,32,20237889
IL-519,West Central Illinois CoC,102,3,102,0,5,30,9,9759539
IL-520,Southern Illinois CoC,351,24,332,19,21,176,43,32240158
IN-500,South Bend/Mishawaka/St. Joseph County CoC,468,54,457,11,54,173,32,6448681
IN-502,Indiana Balance of State CoC,3711,373,3161,550,283,1344,243,139474481
IN-503,Indianapolis CoC,1619,162,1489,130,326,457,90,45744784
KS-502,Wichita/Sedgwick County CoC,571,39,492,79,46,193,37,13087915
KS-503,Topeka/Shawnee County CoC,381,194,334,47,40,109,13,8304630
KS-505,Overland Park/Shawnee/Johnson County CoC,153,0,143,10,2,124,9,7663311
KS-507,Kansas Balance of State CoC,903,85,807,96,41,507,27,76395940
KY-500,Kentucky Balance of State CoC,2057,93,1484,573,164,817,119,162602586
KY-501,Louisville/Jefferson County CoC,1116,186,1004,112,191,305,40,42760476
KY-502,Lexington/Fayette County CoC,1064,103,1043,21,157,166,61,26608740
LA-500,Lafayette/Acadiana CoC,463,62,350,113,38,164,14,37251514
LA-502,Shreveport/Bossier/Northwest CoC,478,17,413,65,105,110,18,27999064
LA-503,New Orleans/Jefferson Parish CoC,1626,403,909,717,92,188,218,75565233
LA-504,Baton Rouge CoC,472,46,401,71,64,26,46,58071509
LA-505,Monroe/Northeast Louisiana CoC,188,8,175,13,6,101,26,25902428
LA-506,Slidell/Southeast Louisiana CoC,275,24,215,60,39,67,12,18368466
LA-507,Alexandria/Central Louisiana CoC,167,7,113,54,33,38,2,13579341
LA-508,Houma-Terrebonne/Thibodaux CoC,146,3,143,3,18,98,2,13591073
LA-509,Louisiana Balance of State,179,0,134,45,5,26,70,19112465
MA-500,Boston CoC,6240,919,6073,167,222,3755,73,120990329
MA-502,Lynn CoC,541,6,537,4,2,428,1,10674920
MA-503,Cape Cod/Islands CoC,394,56,327,67,23,180,12,11768006
MA-504,Springfield CoC,2385,170,2350,35,25,2006,44,29798880
MA-505,New Bedford CoC,469,56,414,55,61,169,32,8252390
MA-506,Worcester City & County CoC,1572,65,1506,66,160,1044,26,39126527
MA-507,Pittsfield/Berkshire County CoC,653,80,625,28,266,198,18,15663040
MA-508,Lowell CoC,594,63,575,19,36,384,23,11726031
MA-509,Cambridge CoC,517,129,448,69,7,118,34,5909689
MA-510,Gloucester/Haverhill/Salem/Essex County CoC,1206,99,1145,61,31,966,15,0
MA-511,Quincy/Brockton/Weymouth/Plymouth City and County CoC,1692,270,1654,38,60,1293,24,20688661
MA-515,Fall River CoC,386,60,379,7,5,259,14,10062106
MA-516,Massachusetts Balance of State,2008,281,1947,61,5,1694,31,75273880
MA-517,Somerville CoC,165,22,159,6,28,65,10,1408762
MA-518,Brookline/Newton CoC,543,19,493,50,12,428,11,-70125
MA-519,Attleboro/Taunton/Bristol County CoC,243,30,216,27,6,187,6,22386100
MD-500,Cumberland/Allegany County CoC,124,12,84,40,1,48,4,4060573
MD-501,Baltimore City CoC,2725,605,2388,337,269,698,82,94665681
MD-502,Harford County CoC,179,14,169,10,9,84,7,1391067
MD-503,Annapolis/Anne Arundel County CoC,390,70,338,52,28,165,9,10590295
MD-504,Howard County CoC,214,47,205,9,7,102,8,3712383
MD-505,Baltimore County CoC,763,108,448,315,41,380,25,9202168
MD-506,Carroll County CoC,136,10,136,0,3,66,8,2426415
MD-507,Cecil County CoC,167,30,116,51,44,68,7,1240507
MD-508,"Charles, Calvert, St.Mary's Counties CoC",464,81,213,251,26,174,34,1062376
MD-509,Frederick City & County CoC,349,133,220,129,12,100,16,3632614
MD-510,Garrett County CoC,20,0,20,0,0,10,2,2489914
MD-511,Mid-Shore Regional CoC,138,23,112,26,7,50,1,4361197
MD-512,Hagerstown/Washington County CoC,233,27,160,73,46,46,12,10538986
MD-513,Wicomico/Somerset/Worcester County CoC,262,33,225,37,19,49,15,13819931
MD-600,Prince George`s County/Maryland CoC,544,20,442,102,26,308,25,14381424
MD-601,Montgomery County CoC,981,151,885,96,17,358,24,31247086
ME-500,Maine Balance of State CoC,1482,87,1415,67,104,708,133,89071633
ME-502,Portland CoC,759,130,706,53,42,212,44,5095060
MI-500,Michigan Balance of State CoC,1466,43,1244,222,66,651,162,112110505
MI-501,Detroit CoC,2335,329,2142,193,354,641,151,60788435
MI-502,Dearborn/Dearborn Heights/Westland/Wayne County CoC,277,9,266,11,17,145,14,105114808
MI-503,St. Clair Shores/Warren/Macomb County CoC,403,14,354,49,55,86,31,12289951
MI-504,Pontiac/Royal Oak/Oakland County CoC,438,37,362,76,8,166,39,20821162
MI-505,Flint/Genesee County CoC,377,24,290,87,20,153,32,30982437
MI-506,Grand Rapids/Wyoming/Kent County CoC,800,63,759,41,76,273,44,29180560
MI-507,Portage/Kalamazoo City & County CoC,374,18,366,8,14,212,29,3758322
MI-508,Lansing/East Lansing/Ingham County CoC,471,44,355,116,54,168,29,23921134
MI-509,Ann Arbor/Washtenaw County CoC,342,63,301,41,41,79,21,11523735
MI-510,Saginaw City & County CoC,343,22,326,17,19,153,29,17250616
MI-511,Lenawee County CoC,137,16,119,18,2,86,9,4187450
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",243,38,233,10,14,39,29,13281030
MI-513,"Marquette, Alger Counties CoC",70,1,68,2,2,44,7,5682441
MI-514,Battle Creek/Calhoun County CoC,246,25,209,37,33,75,24,501118
MI-515,Monroe City & County CoC,176,11,173,3,27,45,22,5536249
MI-516,Norton Shores/Muskegon City & County CoC,191,5,184,7,4,87,18,9892421
MI-517,Jackson City & County CoC,169,2,162,7,5,112,7,12303535
MI-518,Livingston County CoC,77,1,75,2,2,38,10,1709038
MI-519,Holland/Ottawa County CoC,261,9,257,4,8,151,18,4449601
MI-523,Eaton County CoC,120,2,111,9,1,109,0,3358086
MN-500,Minneapolis/Hennepin County CoC,3056,390,2886,170,137,1591,222,44505668
MN-501,Saint Paul/Ramsey County CoC,1346,210,1210,136,48,544,151,22133969
MN-502,Rochester/Southeast Minnesota CoC,423,35,409,14,9,276,45,12581460
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",618,57,411,207,19,329,78,9624958
MN-504,Northeast Minnesota CoC,77,2,60,17,0,40,12,6227368
MN-505,St. Cloud/Central Minnesota CoC,669,18,502,167,25,320,91,23560578
MN-506,Northwest Minnesota CoC,290,22,288,2,6,179,45,15022146
MN-508,Moorhead/West Central Minnesota CoC,211,24,199,12,8,107,18,10981445
MN-509,Duluth/St.Louis County CoC,528,110,370,158,21,198,58,11957342
MN-511,Southwest Minnesota CoC,123,5,117,6,6,88,10,5818816
MO-500,St. Louis County CoC,465,18,417,48,51,209,162,64005168
MO-501,St.Louis City CoC,1248,168,1150,98,140,460,108,55023722
MO-503,"St. Charles, Lincoln, Warren Counties CoC",610,33,380,230,9,322,47,12762837
MO-600,"Springfield/Greene, Christian, Webster Counties CoC",496,221,284,212,29,195,52,17015442
MO-602,"Joplin/Jasper, Newton Counties CoC",297,19,238,59,54,82,19,14221769
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",195,45,185,10,20,87,8,9411246
MO-604a,"Kansas City, Independence, Lee’s Summit/Jackson, Wyandotte Counties, MO & KS",1699,475,1465,234,197,529,154,0
MO-606,Missouri Balance of State CoC,1431,201,1056,375,115,594,108,131694461
MS-500,"Jackson/Rankin, Madison Counties CoC",633,88,297,336,65,67,38,110536876
MS-501,Mississippi Balance of State CoC,785,57,479,306,66,301,33,139650334
MS-503,Gulf Port/Gulf Coast Regional CoC,320,38,113,207,13,71,14,18833095
MT-500,Montana Statewide CoC,1418,137,788,630,165,574,100,93430084
NC-500,Winston Salem/Forsyth County CoC,544,95,506,38,67,144,22,10955329
NC-501,Asheville/Buncombe County CoC,509,74,437,72,196,37,23,11267754
NC-502,Durham City & County CoC,354,57,322,32,71,117,13,8570826
NC-503,North Carolina Balance of State CoC,2963,348,2128,835,136,1112,161,184419341
NC-504,Greensboro/High Point CoC,721,38,637,84,66,177,61,16546316
NC-505,Charlotte/Mecklenberg CoC,1818,191,1631,187,149,650,78,21612441
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",389,81,261,128,52,99,18,3145966
NC-507,Raleigh/Wake County CoC,818,149,680,138,78,249,45,64012118
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",328,36,243,85,16,90,31,18486754
NC-511,Fayetteville/Cumberland County CoC,515,80,224,291,43,174,15,13888326
NC-513,Chapel Hill/Orange County CoC,80,16,65,15,7,10,3,12973142
NC-516,Northwest North Carolina CoC,520,19,116,404,7,304,27,7943653
ND-500,North Dakota Statewide CoC,923,120,707,216,116,261,74,47174590
NE-500,Nebraska Balance of State CoC,551,7,539,12,13,267,44,0
NE-501,Omaha/Council Bluffs CoC,1509,200,1452,57,134,399,125,35243693
NE-502,Lincoln CoC,694,26,662,32,72,208,69,13768793
NH-500,New Hampshire Balance of State CoC,670,213,594,76,25,227,43,34780160
NH-501,Manchester CoC,400,56,346,54,35,198,15,12813962
NH-502,Nashua/Hillsborough County CoC,296,12,283,13,63,114,22,5077530
NJ-500,Atlantic City & County CoC,476,53,360,116,59,36,38,9639666
NJ-501,Bergen County CoC,296,10,285,11,10,111,28,11187121
NJ-502,Burlington County CoC,926,133,913,13,11,455,49,400000
NJ-503,"Camden City/Camden, Cumberland, Gloucester, Cape May Counties CoC",1068,75,829,239,151,335,59,36443244
NJ-504,Newark/Essex County CoC,1779,97,1336,443,52,608,169,61040147
NJ-506,Jersey City/Bayonne/Hudson County CoC,829,137,603,226,30,245,23,38481867
NJ-507,New Brunswick/Middlesex County CoC,457,44,373,84,14,228,16,8734877
NJ-508,Monmouth County CoC,344,74,299,45,17,157,7,6715601
NJ-509,Morris County CoC,410,34,376,34,15,165,20,8667762
NJ-510,Lakewood Township/Ocean County CoC,429,73,375,54,2,255,22,11785145
NJ-511,Paterson/Passaic County CoC,432,27,396,36,8,241,19,19628614
NJ-513,Somerset County CoC,218,1,209,9,92,51,25,3250657
NJ-514,Trenton/Mercer County CoC,465,20,421,44,15,131,20,22312503
NJ-515,Elizabeth/Union County CoC,513,19,451,62,7,266,24,5503222
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",253,25,235,18,73,71,14,6161789
NM-500,Albuquerque CoC,1222,255,1039,183,139,355,90,46945110
NM-501,New Mexico Balance of State CoC,1041,394,770,271,75,352,98,113544642
NV-500,Las Vegas/Clark County CoC,6208,285,2477,3731,730,357,1531,25321079
NV-501,Reno/Sparks/Washoe County CoC,989,35,869,120,111,112,129,19183179
NV-502,Nevada Balance of State CoC,201,27,125,76,10,76,12,16715780
NY-500,Rochester/Irondequoit/Greece/Monroe County CoC,860,184,791,69,66,319,119,29950515
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",506,117,380,126,22,176,58,8262283
NY-503,Albany City & County CoC,748,83,722,26,71,280,81,33705224
NY-504,Cattaragus County CoC,27,1,27,0,1,7,3,1811663
NY-505,"Syracuse, Auburn/Onondaga, Oswego, Cayuga Counties CoC",867,62,840,27,56,262,97,38720488
NY-507,Schenectady City & County CoC,345,31,276,69,13,88,43,19103952
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",962,38,905,57,97,352,73,57767466
NY-510,Ithaca/Tompkins County CoC,86,4,56,30,2,20,22,596898
NY-511,"Binghamton, Union/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties C",276,0,248,28,2,50,33,14083841
NY-512,Troy/Rensselaer County CoC,179,19,167,12,3,94,20,9707516
NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",58,33,58,0,1,24,9,10655300
NY-514,Jamestown/Dunkirk/Chautauqua County CoC,23,0,23,0,0,7,9,11541805
NY-516,Clinton County CoC,132,12,130,2,1,38,16,4207451
NY-518,"Utica/Rome/Oneida, Madison Counties CoC",160,22,143,17,5,54,30,11381827
NY-519,Columbia/Greene County CoC,116,17,114,2,0,64,3,3194427
NY-520,Franklin County CoC,27,2,25,2,1,7,0,3280996
NY-522,Jefferson/Lewis/St. Lawrence Counties CoC,119,8,110,9,15,23,17,6971232
NY-523,"Glens Falls/Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties CoC",268,29,252,16,26,75,31,18858180
NY-600,New York City CoC,73523,4294,70685,2838,559,44558,1805,548722607
NY-601,Poughkeepsie/Dutchess County CoC,385,21,363,22,9,167,30,8506604
NY-602,Newburgh/Middletown/Orange County CoC,343,33,323,20,2,158,49,12467008
NY-603,"Nassau, Suffolk Counties/Babylon/Islip/ Huntington CoC",3960,174,3845,115,144,2884,203,21931768
NY-604,Yonkers/Mount Vernon/New Rochelle/Westchester CoC,1750,131,1716,34,128,1092,85,66721351
NY-606,Rockland County CoC,141,16,109,32,9,17,9,33488153
NY-607,Sullivan County CoC,163,3,163,0,2,73,6,0
NY-608,Kingston/Ulster County CoC,328,34,290,38,13,148,38,3744999
OH-500,Cincinnati/Hamilton County CoC,1116,24,1056,60,185,272,76,33828315
OH-501,Toledo/Lucas County CoC,599,31,584,15,30,211,25,18813957
OH-502,Cleveland/Cuyahoga County CoC,1697,193,1623,74,202,337,85,77348653
OH-503,Columbus/Franklin County CoC,1724,160,1385,339,133,461,125,81006939
