COC_Number,COC_Name,amount
MA-507,Pittsfield/Berkshire County CoC,15663040
CA-507,Marin County CoC,15213360
ID-500,Boise/Ada County CoC,15211536.9
MN-506,Northwest Minnesota CoC,15022146
AL-506,Tuscaloosa City & County CoC,14887335
PA-503,Wilkes-Barre/Hazleton/Luzerne County CoC,14838382
OR-500,Eugene/Springfield/Lane County CoC,14792887.49
OK-506,Southwest Oklahoma Regional CoC,14694092
TN-506,Oak Ridge/Upper Cumberland CoC,14601927
MD-600,Prince George`s County/Maryland CoC,14381424
VI-500,Virgin Islands CoC,14252269
MO-602,"Joplin/Jasper, Newton Counties CoC",14221769
PA-605,Erie City & County CoC,14125343
NY-511,"Binghamton, Union/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties C",14083841
NC-511,Fayetteville/Cumberland County CoC,13888326
FL-502,St. Petersburg/Clearwater/Largo/Pinellas County CoC,13820558
MD-513,Wicomico/Somerset/Worcester County CoC,13819931
IL-501,"Rockford/Winnebago, Boone Counties CoC",13804377
NE-502,Lincoln CoC,13768793
LA-508,Houma-Terrebonne/Thibodaux CoC,13591073
LA-507,Alexandria/Central Louisiana CoC,13579340.72
WA-503,Tacoma/Lakewood/Pierce County CoC,13457025
OH-504,Youngstown/Mahoning County CoC,13451338
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",13281030
PA-502,Upper Darby/Chester/Haverford/Delaware County CoC,13252191
KS-502,Wichita/Sedgwick County CoC,13087915
NC-513,Chapel Hill/Orange County CoC,12973142
CA-521,Davis/Woodland/Yolo County CoC,12898583
UT-504,Provo/Mountainland CoC,12828635
NH-501,Manchester CoC,12813962
MO-503,"St. Charles, Lincoln, Warren Counties CoC",12762837
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",12626306
IL-514,DuPage County CoC,12585748
MN-502,Rochester/Southeast Minnesota CoC,12581460
TN-510,Murfreesboro/Rutherford County CoC,12473551
NY-602,Newburgh/Middletown/Orange County CoC,12467008
FL-519,Pasco County CoC,12446180
TX-604,Waco/McLennan County CoC,12407439
MI-517,Jackson City & County CoC,12303535
MI-503,St. Clair Shores/Warren/Macomb County CoC,12289951
IL-507,"Peoria/Perkin/Fulton, Peoria, Tazewell, Woodford CoC",12272238
OK-503,Oklahoma Balance of State CoC,12017576
MN-509,Duluth/St.Louis County CoC,11957342
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",11939201
NJ-510,Lakewood Township/Ocean County CoC,11785145
MA-503,Cape Cod/Islands CoC,11768006
MA-508,Lowell CoC,11726031
GA-503,Athens/Clarke County CoC,11542138
NY-514,Jamestown/Dunkirk/Chautauqua County CoC,11541805
FL-603,Ft Myers/Cape Coral/Lee County CoC,11539733
MI-509,Ann Arbor/Washtenaw County CoC,11523735
TN-502,Knoxville/Knox County CoC,11456559
NY-518,"Utica/Rome/Oneida, Madison Counties CoC",11381827
FL-509,"Fort Pierce/St. Lucie, Indian River, Martin Counties CoC",11381518
PA-510,Lancaster City & County CoC,11288636
NC-501,Asheville/Buncombe County CoC,11267754
CA-606,Long Beach CoC,11249342
PA-508,Scranton/Lackawanna County CoC,11246230
NJ-501,Bergen County CoC,11187121
VA-501,"Norfolk/Chesapeake/Suffolk/Isle of Wright, Southampton Counties CoC",11032633
MN-508,Moorhead/West Central Minnesota CoC,10981445
NC-500,Winston Salem/Forsyth County CoC,10955328.7
IL-502,Waukegan/North Chicago/Lake County CoC,10918755
MA-502,Lynn CoC,10674920
NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",10655300
MD-503,Annapolis/Anne Arundel County CoC,10590295
MD-512,Hagerstown/Washington County CoC,10538986
MA-515,Fall River CoC,10062106
PA-506,Reading/Berks County CoC,9981778.8
CA-515,"Roseville/Rocklin/Placer, Nevada Counties CoC",9944593
CA-522,Humboldt County CoC,9921170
MI-516,Norton Shores/Muskegon City & County CoC,9892421
OR-503,Central Oregon CoC,9882501.97
OK-504,Norman/Cleveland County CoC,9831375
IL-519,West Central Illinois CoC,9759539
VA-603,City of Alexandria CoC,9717077
NY-512,Troy/Rensselaer County CoC,9707516
NJ-500,Atlantic City & County CoC,9639666
MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties",9624958
FL-515,"Panama City/Bay, Jackson Counties CoC",9483781.26
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",9411246
CA-607,Pasadena CoC,9370247
WV-501,"Huntington/Cabell, Wayne Counties CoC",9335669.87
VT-501,Burlington/Chittenden County CoC,9300527
MD-505,Baltimore County CoC,9202168
WA-508,Vancouver/Clark County CoC,8922790.16
IL-515,South Central Illinois CoC,8899967
AR-508,Old Fort Homeless Coalition,8862475
CA-511,Stockton/San Joaquin County CoC,8774570
NJ-507,New Brunswick/Middlesex County CoC,8734877
NJ-509,Morris County CoC,8667762
GA-508,DeKalb County Continuum of Care,8579161
NC-502,Durham City & County CoC,8570826
NY-601,Poughkeepsie/Dutchess County CoC,8506604
PA-504,Lower Marion/Norristown/Abington/Montgomery County CoC,8484490
FL-517,"Hendry, Hardee, Highlands Counties CoC",8404177
AL-502,Florence/Northwest Alabama CoC,8330677
KS-503,Topeka/Shawnee County CoC,8304630
WV-500,Wheeling/Weirton Area CoC,8296749
PA-505,Chester County CoC,8291536
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",8262283
MA-505,New Bedford CoC,8252390
PA-512,York City & County CoC,7987511
NC-516,Northwest North Carolina CoC,7943653
CA-612,Glendale CoC,7705339
KS-505,Overland Park/Shawnee/Johnson County CoC,7663311
IL-512,Bloomington/Central Illinois CoC,7583849
CA-525,El Dorado County CoC,7498194
IL-503,Champaign/Urbana/Rantoul/Champaign County CoC,7399137
FL-505,"Fort Walton Beach/Okaloosa, Walton Counties CoC",7188849.72
NY-522,Jefferson/Lewis/St. Lawrence Counties CoC,6971232
OH-508,Canton/Massillon/Alliance/Stark County CoC,6907964
GA-507,Savannah/Chatham County CoC,6905585.53
IL-516,Decatur/Macon County CoC,6881742
NJ-508,Monmouth County CoC,6715601
AR-501,Fayetteville/Northwest Arkansas CoC,6637278
IN-500,South Bend/Mishawaka/St. Joseph County CoC,6448681
GU-500,Guam CoC,6348022
MN-504,Northeast Minnesota CoC,6227368
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",6161789
MA-509,Cambridge CoC,5909689
PA-603,Beaver County CoC,5896953.2
CA-526,"Amador, Calaveras, Tuolumne and Mariposa Counties CoC",5837573
